purple air sensors matched to index in HRRR-Smoke grid. Each column is a grid index + distance from that point to PA sensor.0,1,2,3
"(29023, 1791.2481325260899)","(29024, 1229.2850435399175)",,
"(24941, 1417.8218630274666)","(24942, 1692.1069204657292)","(25280, 2932.168927005362)",
"(27324, 1257.3950138363055)","(27325, 2346.976604114872)","(27663, 2237.2048952922482)","(27664, 2988.6521634008113)"
"(27985, 1763.6406017987106)","(27986, 1244.7865683197654)",,
"(24259, 1985.4374981314506)","(24260, 1108.448330359825)","(24599, 2845.002035940946)",
"(27982, 2997.0791877353377)","(27983, 405.46668277747204)","(28322, 2588.6930981098467)",
"(62861, 1304.427742826956)","(62862, 2994.1101548813963)","(63200, 1753.8454123279644)",
"(24941, 1417.4606250871382)","(24942, 1703.6392747603172)","(25280, 2910.41539486918)",
"(24941, 1412.5434195016276)","(24942, 1695.8846026681895)","(25280, 2932.7280643119266)",
"(82439, 1594.7490633094283)","(82440, 2651.972889655949)","(82778, 1765.287419354611)","(82779, 2756.691433459735)"
"(27340, 1765.2925551905853)","(27341, 1672.671333487012)","(27679, 2668.13259901452)","(27680, 2608.9503529984386)"
"(28675, 2323.638362426564)","(28676, 1515.436363026657)","(29014, 2736.5490419444545)","(29015, 2095.658055922821)"
"(27679, 947.3001248665634)","(27680, 2472.2501281478235)","(28018, 2385.6680358731005)",
"(29994, 2535.82375314578)","(29995, 481.77867912263804)","(30334, 2927.969109213233)",
"(28337, 844.5679499295946)","(28338, 2165.954013984528)",,
"(75326, 950.5468403475998)","(75327, 2060.626455567918)",,
"(33697, 2964.8373727584135)","(33698, 276.03331584155995)","(34037, 2719.318865445394)",
"(75665, 2938.6451579502896)","(75666, 1101.37003767082)","(76005, 1947.7979224335634)",
"(24941, 1413.495178329776)","(24942, 1694.186396892942)","(25280, 2934.6478350943053)",
"(25276, 2544.9088252384004)","(25614, 2771.61989478001)","(25615, 537.2839881147254)",
"(82493, 628.6149290455694)","(82494, 2386.106368204946)","(82832, 2989.9562538422288)",
"(25276, 2259.458427255289)","(25614, 2426.4445465285853)","(25615, 1129.238477629529)",
"(84167, 1945.5375590742478)","(84168, 1982.776635576862)","(84506, 2280.5839022734317)","(84507, 2311.6650432910183)"
"(13788, 1286.0306139682857)","(14127, 1711.342940482826)",,
"(111270, 986.3426092156371)","(111271, 2978.703118493011)","(111609, 2035.0584959779565)",
"(78386, 1274.343518999988)","(78387, 1734.614363366644)",,
"(126156, 1658.1130109305043)","(126495, 1336.0546622349127)",,
"(21902, 1684.193312368543)","(22240, 2911.5125217764066)","(22241, 1433.5630401870176)",
"(28336, 2692.39525221254)","(28675, 667.7543607702746)","(28676, 2473.7177753922206)",
"(89266, 2196.7188127052405)","(89267, 1077.335055691745)","(89606, 2558.1097321003813)",
"(79400, 845.8538723275072)","(79739, 2153.0768703622552)",,
"(44239, 395.8017839569806)","(44578, 2600.1045000274066)",,
"(75331, 2600.783951014573)","(75332, 452.4756068038066)","(75671, 2840.1264547617893)",
"(28336, 996.6176334059268)","(28337, 2566.883081126639)","(28675, 2253.8766142113295)",
"(69622, 2198.2263946466815)","(69961, 821.8752040918703)","(69962, 2958.6935806786446)",
