sensor,time,pm25_PA,model_before_da,model_after_da
411,2018-11-11 05:00:00,104.6308326,1163.5929579723056,938.2674207952925
411,2018-11-11 06:00:00,103.6464874,898.7336686417448,696.9114139006475
411,2018-11-11 07:00:00,99.517176,794.5358287084009,558.0273833836845
411,2018-11-11 08:00:00,90.6109048,683.3920464198663,510.18703818249696
411,2018-11-11 09:00:00,86.86004460000001,489.67002946059466,360.0524940408772
411,2018-11-11 10:00:00,82.19069280000001,397.57149662424575,279.2819740203283
411,2018-11-11 11:00:00,76.7878776,437.75530230659706,296.73644077108077
411,2018-11-11 12:00:00,67.3914848,438.7547772033617,292.79108041499745
411,2018-11-11 13:00:00,60.13533800000001,357.00206786608527,244.83082035312395
411,2018-11-11 14:00:00,54.645117600000006,398.89211038618674,273.75245056727846
411,2018-11-11 15:00:00,52.464482800000006,356.07853285144023,263.62837468256924
